FID,wkb_geometry,id,parkomat_id,type,vejkode,p_zone,beboer_zone,vejnavn,husnr,placering,ejerlavkode,opret_dato,ret_dato
parkomat.131,POINT (12.54745076273583 55.685874721662174),780,1172,Betalingsautomat,864,BLÅ,IN,BROHUSGADE,19,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.132,POINT (12.547410895272227 55.686749444866365),781,1173,Betalingsautomat,864,BLÅ,IN,BROHUSGADE,6,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.133,POINT (12.54579053344817 55.687809233766174),782,1174,Betalingsautomat,5724,BLÅ,IN,RANTZAUSGADE,51,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.134,POINT (12.545021057504998 55.688766109393946),783,1175,Betalingsautomat,2588,BLÅ,IN,HANS EGEDES GADE,7,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.135,POINT (12.544409193316218 55.68779133087354),786,1177,Betalingsautomat,4188,BLÅ,IN,LAURIDS SKAUS GADE,7,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.136,POINT (12.544189091157293 55.687368265492836),788,1179,Betalingsautomat,2908,BLÅ,IN,HIORT LORENZENS GADE,4,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.137,POINT (12.543665732761665 55.68726821239714),791,1180,Betalingsautomat,64,BLÅ,IN,AHLMANNSGADE,3A,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.138,POINT (12.543273499221984 55.68782110967095),785,1181,Betalingsautomat,2908,BLÅ,IN,HIORT LORENZENS GADE,10,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.139,POINT (12.5427771339543 55.68765028548488),790,1182,Betalingsautomat,2908,BLÅ,IN,KRÜGERSGADE,1,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.140,POINT (12.544508903605822 55.68993009650893),792,1184,Betalingsautomat,2588,BLÅ,IN,HANS EGEDES GADE,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.141,POINT (12.551609962792435 55.68668853968094),793,1185,Betalingsautomat,3564,BLÅ,IN,KAPELVEJ,42,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.142,POINT (12.55092350365728 55.6859835868917),795,1186,Betalingsautomat,5724,BLÅ,IN,RANTZAUSGADE,19,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.143,POINT (12.550630080948366 55.68558316823905),794,1187,Betalingsautomat,3564,BLÅ,IN,KAPELVEJ,56,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.144,POINT (12.5497734692205 55.68639573525471),796,1188,Betalingsautomat,5724,BLÅ,IN,RANTZAUSGADE,23E,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.145,POINT (12.54946885063515 55.687483406621766),798,1189,Betalingsautomat,7032,BLÅ,IN,STRUENSEEGADE,18,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.146,POINT (12.550461556687399 55.68710589521594),797,1190,Betalingsautomat,7032,BLÅ,IN,STRUENSEEGADE,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.147,POINT (12.54827103110667 55.68772188738597),799,1191,Betalingsautomat,7032,BLÅ,IN,STRUENSEEGADE,27,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.148,POINT (12.547221209901627 55.688275281423756),800,1192,Betalingsautomat,7032,BLÅ,IN,STRUENSEEGADE,38,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.149,POINT (12.545146431728128 55.68891342479888),801,1194,Betalingsautomat,7032,BLÅ,IN,STRUENSEEGADE,55,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.150,POINT (12.546490545807487 55.6924175529107),802,1195,Betalingsautomat,3332,BLÅ,IN,JAGTVEJ,43,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.151,POINT (12.547101337372801 55.69295878003332),803,1196,Betalingsautomat,3332,BLÅ,IN,JAGTVEJ,51,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.152,POINT (12.547892149330284 55.69366079716903),804,1197,Betalingsautomat,3332,BLÅ,IN,JAGTVEJ,63,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.153,POINT (12.550093126842745 55.695646477607006),805,1199,Betalingsautomat,3332,BLÅ,IN,JAGTVEJ,105A,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.154,POINT (12.550412642623208 55.695492270334285),806,1200,Betalingsautomat,3332,BLÅ,IN,JAGTVEJ,75,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.155,POINT (12.551207002167958 55.69660462689325),807,1201,Betalingsautomat,3332,BLÅ,IN,JAGTVEJ,115,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.156,POINT (12.551697642775743 55.69664601296514),808,1202,Betalingsautomat,3332,BLÅ,IN,JAGTVEJ,78,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.157,POINT (12.55216572891828 55.69748988018159),809,1203,Betalingsautomat,3332,BLÅ,IN,JAGTVEJ,129,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
